Dist,First,Last,Party,2023 PVI,2023 Raw PVI,Rank
AL-01@@1,Jerry,Carl,R,R+16@@366,R+16.47,366
AL-02@@2,Barry,Moore,R,R+17@@373,R+17.32,373
AL-03@@3,Mike,Rogers,R,R+19@@393,R+19.36,393
AL-04@@4,Robert,Aderholt,R,R+33@@435,R+33.24,435
AL-05@@5,Dale,Strong,R,R+17@@370,R+16.67,370
AL-06@@6,Gary,Palmer,R,R+18@@384,R+18.39,384
AL-07@@7,Terri,Sewell,D,D+14@@100,D+14.11,100
AK-AL@@8,Mary,Peltola,D,R+8@@271,R+8.02,271
AZ-01@@9,David,Schweikert,R,R+2@@223,R+2.01,223
AZ-02@@10,Eli,Crane,R,R+6@@257,R+6.35,257
AZ-03@@11,Ruben,Gallego,D,D+24@@42,D+24.02,42
AZ-04@@12,Greg,Stanton,D,D+2@@192,D+2.27,192
AZ-05@@13,Andy,Biggs,R,R+11@@302,R+11.11,302
AZ-06@@14,Juan,Ciscomani,R,R+3@@229,R+2.66,229
AZ-07@@15,Raúl,Grijalva,D,D+15@@91,D+14.98,91
AZ-08@@16,Debbie,Lesko,R,R+10@@289,R+9.69,289
AZ-09@@17,Paul,Gosar,R,R+16@@356,R+15.64,356
AR-01@@18,Rick,Crawford,R,R+22@@414,R+22.37,414
AR-02@@19,French,Hill,R,R+9@@284,R+9.03,284
AR-03@@20,Steve,Womack,R,R+15@@349,R+14.91,349
AR-04@@21,Bruce,Westerman,R,R+20@@395,R+19.55,395
CA-01@@22,Doug,LaMalfa,R,R+12@@312,R+12.21,312
CA-02@@23,Jared,Huffman,D,D+23@@48,D+23.19,48
CA-03@@24,Kevin,Kiley,R,R+4@@238,R+3.72,238
CA-04@@25,Mike,Thompson,D,D+17@@83,D+16.71,83
CA-05@@26,Tom,McClintock,R,R+9@@281,R+8.73,281
CA-06@@27,Ami,Bera,D,D+7@@147,D+7.39,147
CA-07@@28,Doris,Matsui,D,D+17@@80,D+17.4,80
CA-08@@29,John,Garamendi,D,D+26@@31,D+26.09,31
CA-09@@30,Josh,Harder,D,D+5@@169,D+4.58,169
CA-10@@31,Mark,DeSaulnier,D,D+18@@77,D+17.91,77
CA-11@@32,Nancy,Pelosi,D,D+37@@5,D+36.7,5
CA-12@@33,Barbara,Lee,D,D+40@@1,D+39.7,1
CA-13@@34,John,Duarte,R,D+4@@176,D+3.85,176
